Year ,Jet Fuel_avi_BTU,Gasoline_avi_BTU,LDV_SWB_road_BTU,LDV_LWB_road_BTU,Combination_Truck_road_BTU,Bus_Road_BTU,Passenger_Car_EFF,Passenger_Car_Age,Demand_petroleum_transportation)mil_lit,Average_MC/15000_miles(dollars),CO2_emission_million_metric_tons,CO_emission_million_shots_tons,NOx_emission_million_shots_tons,SOx_emission_million_shots_tons,Volatile_compound_million_shots_tons,overall_emission
2006.0,1757.619,34.068496943788,9049.113355859883,7299.585806986717,3380.8237040630715,138.1375610916764,33.937919204118366,10.2,529135.132684872,7834.0,2023.293,85.83709915223069,19.227000091228515,13.122556026637046,17.901738045132202,2180.782527016805
2007.0,1754.838,32.892196890402396,11130.649011962,4132.923995184,3722.7717098099997,243.35265146199998,33.12647916965197,10.3,529568.751629472,7823.0,2026.325,83.12830875038078,18.099235736215302,11.699363577421959,18.050470431094915,2178.803123569934
2008.0,1683.369,29.815624179994003,10354.05872148504,4201.0251005526725,3676.0462036720965,247.41962426075753,35.270757156809665,10.4,514906.950025416,8121.0,1895.531,79.65508913495516,16.90935917245684,10.323657863075903,17.758856144507654,2041.7578945464918
2009.0,1504.899,27.335002134049656,10361.415933753126,4295.477744193419,3374.0207709502397,239.0166246517253,36.399878124278324,10.5,517644.722756532,8096.0,1831.553,72.75252470155964,15.771705262182097,9.08923765867349,17.59319721866951,1967.9589062934413
2010.0,1492.6545,26.532599864740003,10490.773516290716,4360.484646910434,3599.7586553113306,231.0855274084867,36.53729291966994,10.8,521273.7404597519,8487.0,1847.157,73.77104947113307,14.846453588649203,7.732208415108056,17.835013588387945,1982.1647504058008
2011.0,1461.8205,25.95847742998509,10679.597549234795,4250.259865807466,3389.7844556114896,232.89185026670583,36.70515599182716,10.850000000000003,511580.806921728,8776.0,1812.879,73.76157406052528,14.518913568566955,6.478839167077702,18.1542868159382,1946.515141828623
2012.0,1382.13,24.815045267151238,10716.441238821728,4223.7639694167565,3365.0407065133163,248.15463609798852,36.70515599182716,10.850000000000003,509446.531069536,8946.0,1775.791,71.75819105057526,13.878782431092024,5.0792928420356205,17.87210389624409,1904.348893325287
2013.0,1371.0735,23.711069161312004,10714.92333948262,4229.098019759481,3463.6346617268273,254.60022736189066,36.70515599182716,10.850000000000003,511564.54100636404,9122.0,1795.477,69.75480804062526,13.238651293617089,4.873418125025178,17.589920976549987,1920.1503164299825
2014.0,1389.501,25.186347704333922,10796.801433125353,4491.838566283103,3502.446383029,268.62494056656755,29.491622052528175,10.850000000000003,529997.3435469359,8876.0,1813.662,65.53702276987991,12.589334978805157,4.6744564630957965,16.882677648622067,1931.528769467582
2015.0,1450.062,23.516511530312506,10883.374397310574,4382.9007087502805,3474.570994373718,268.0053924247724,29.491622052528175,10.850000000000003,535005.9600602691,8698.0,1836.994,63.51553959236362,11.681853375712933,3.945028561651937,16.329779553458884,1949.992185094167
2016.0,1507.5855,24.821255454278404,11060.732232608516,4549.066788996526,3555.0095635959483,267.73202950757553,29.491622052528175,10.850000000000003,548303.4702149313,8558.0,1869.325,58.90436500013729,10.303739970382697,3.2040676273152764,15.458594900168842,1974.0261365777908
2017.0,1530.954,24.811530953104885,11086.832010495678,4506.725397607754,3652.311274999598,282.7109294447024,29.491622052528175,10.149999999999999,547276.1749594429,8468.0,1886.292,66.6046829529474,9.838189153864601,2.5394990907767,17.184850584768,1999.4942017825024
2018.0,1599.507,27.882270128581506,11071.363026452373,4473.358121666566,3647.680198058474,299.97107649622285,29.491622052528175,10.149999999999999,549774.9629108639,8849.0,1917.76,62.2828263366,9.21132246069,2.4384922986600004,16.4345343576,2024.52256175815
2019.0,1644.84,24.0590449425109,11291.709466986085,4574.446089716604,3486.731920987281,294.7746613132529,29.491622052528175,10.149999999999999,553756.463037876,9282.0,1923.853,52.1181598394,8.56851659799,1.98403088286,13.6784056744,2015.2842635890502
2020.0,976.4415,22.150503589997562,9061.500091676335,4450.35637556659,3418.737391346746,247.0552967687024,29.491622052528175,10.149999999999999,483422.90998278,9561.0,1632.051,100.81277283258763,22.073472147500002,14.920004497458008,18.2121144079691,1809.6076759750197
